bleach_norm,fco2_norm,pH_norm,Salinity_norm,SSTA_norm,DO_norm,talk_norm,tco2_norm
0.001051386,0.713530551,0.829960718,0.800504457,0.676529298,0.55837409,0.800304236,0.796963998
0.001051386,0.410913598,0.848235004,0.799966418,0.568141779,0.197062607,0.836830822,0.875596942
0.001051386,0.584289429,0.615905059,0.818809728,0.35218325,0.184536246,0.636573839,0.825193617
0.001051386,0.512687978,0.881570838,0.874689281,0.647815398,0.735247997,0.615543616,0.662688917
0.003401854,0.534100338,0.804470501,0.824661889,0.465051457,0.549768596,0.676512792,0.813715459
0.001051386,0.542729355,0.797182223,0.876386707,0.50593183,0.245029751,0.646323331,0.766664131
0.001051386,0.550523505,0.796608807,0.914143823,0.537158678,0.53414405,0.49343152,0.624656713
0.001555058,0.558317868,0.796032712,0.911278871,0.730184033,0.576801499,0.447397133,0.437096992
0.003401854,0.56631999,0.782913811,0.815492697,0.766858388,0.531643668,0.564892859,0.749985709
0.001051386,0.577943417,0.770719342,0.867981975,0.786083466,0,0.445567287,0.628404213
0.001051386,0.565240538,0.823382511,0.838888305,0.605730897,0.160604566,0.550834915,0.582281366
0.001051386,0.579613151,0.82648003,0.88321422,0.634510005,0.088916213,0.603615281,0.926260051
0.001051386,0.740884261,0.829960718,0.850721806,0.71093947,0.07843234,0.595507446,0.685419201
0.001051386,0.31206104,0.829960718,0.881990772,0.522564691,0.075921623,0.806236944,0.81784976
0.001051386,0.943147938,0.236094662,0.95603666,0.392727357,0.084075977,0.805716476,0.827715947
0.161118211,0.59539282,0.891316231,0.895569814,0.590015039,0.419634301,0.523038724,0.608958083
0.019561316,0.610242469,0.798913189,0.834243368,0.733895606,0.118359294,0.524426149,0.679726886
0.012803723,0.609751596,0.790282474,0.918495715,0.818977548,0.433920055,0.60508045,0.688250942
0.001051386,0.608259394,0.789706379,0.859537066,0.813075422,0.667403435,0.790172811,0.837463929
0.007045078,0.606767404,0.789132963,0.797454312,0.833594377,0.651170067,0.6727236,0.743436308
0.001051386,0.605482961,0.776011383,0.896362107,0.301410196,0.092552896,0.873661294,0.914254786
0.001051386,0.607342147,0.754768195,0.818249992,0.319218363,0.299311542,0.861971852,0.891028881
0.006339938,0.661038658,0.829960718,0.813561083,0.499651951,0.221665425,0.786239043,0.798942423
0.002618364,0.746674049,0.829960718,0.806486935,0.384961458,0.404284821,0.69226801,0.785030117
0.013832052,0.47596511,0.829960718,0.920916509,0.508103738,0.237954732,0.817614817,0.851411357
0.001051386,0.767680257,0.826279066,0.914084361,0.389915701,0.446488918,0.595703606,0.718094262
